CSI amplitudes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,state
71,9,9,8,7,6,5,4,4,4,4,5,5,7,8,8,8,9,9,10,10,10,10,10,10,11,10,10,10,11,10,11,11,11,11,12,11,11,12,12,11,11,13,13,14,13,14,13,14,15,15,14,16,0
72,9,8,9,8,7,6,6,4,4,4,6,6,7,7,9,10,10,10,11,12,11,11,11,11,11,12,12,11,12,12,13,12,13,13,13,13,13,13,13,13,13,14,14,16,15,14,15,14,16,16,17,17,0
73,11,9,9,8,8,6,6,4,4,5,6,7,8,8,9,10,10,11,12,12,12,11,12,11,12,11,12,12,13,12,13,13,13,13,13,13,13,14,14,14,14,13,16,15,15,15,15,16,17,17,17,18,0
74,12,9,9,8,8,5,4,5,4,5,6,7,8,9,9,10,10,10,11,12,11,11,11,11,12,11,11,12,12,12,12,13,13,13,12,13,13,13,13,14,14,14,15,14,15,15,16,16,16,17,17,18,0
75,12,11,10,9,9,7,6,6,6,5,6,7,8,9,9,11,11,11,11,12,13,12,13,12,12,12,13,13,13,14,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,17,18,19,0
76,12,11,10,9,8,7,6,6,5,5,6,6,8,9,9,11,11,11,11,12,11,11,11,11,12,12,12,13,13,13,13,13,14,13,13,14,14,14,14,14,14,15,15,16,16,16,16,16,17,18,19,19,0
77,10,10,8,8,7,6,5,5,4,5,6,7,9,9,9,8,10,9,11,11,12,12,10,10,10,11,11,12,12,12,13,13,13,13,13,12,13,14,14,14,13,14,14,15,16,14,16,16,17,17,18,19,0
78,12,11,10,9,8,7,6,5,5,5,6,7,9,9,10,10,11,11,11,11,12,12,12,12,12,12,12,11,13,13,13,14,13,14,13,13,14,14,14,15,16,16,16,16,16,16,17,17,18,18,19,19,0
79,11,9,9,9,8,6,5,5,5,5,5,6,7,8,8,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,11,12,12,13,13,13,13,15,13,14,15,13,15,16,15,15,16,16,17,16,0
80,12,11,9,9,8,7,5,5,5,4,6,6,7,8,9,9,10,11,10,11,10,11,11,11,11,11,11,11,12,12,13,13,13,13,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,17,18,19,0
81,11,11,10,9,8,7,6,5,4,5,5,6,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,11,11,12,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,15,16,16,17,17,0
82,12,11,11,10,9,8,7,6,5,5,5,6,7,7,8,9,9,9,9,10,10,10,10,11,11,10,11,11,11,11,12,12,12,12,12,13,13,13,13,14,13,14,14,14,15,15,15,16,16,17,17,17,0
83,9,10,7,9,8,7,6,5,4,4,4,5,5,5,6,6,7,7,8,8,8,7,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,9,10,10,10,11,11,11,12,12,12,12,12,13,14,14,0
84,11,11,10,9,9,7,6,5,5,6,6,6,6,7,7,8,8,9,9,10,10,9,8,9,9,9,9,9,10,10,11,11,11,11,10,11,11,11,12,12,12,13,14,14,13,12,14,15,15,16,16,16,0
85,13,10,11,11,8,8,8,7,6,6,7,8,8,8,9,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,11,12,11,12,12,12,13,12,12,13,14,14,14,14,15,15,16,16,16,16,17,17,0
86,13,13,11,11,10,8,8,8,7,7,8,8,9,9,9,10,10,10,11,11,11,10,11,10,10,10,11,11,11,12,12,12,12,12,12,13,13,13,13,13,14,15,15,14,15,16,17,16,16,17,18,17,0
87,13,12,12,11,10,9,8,7,7,7,7,6,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,14,15,15,15,16,16,0
88,12,11,11,10,10,8,8,7,8,8,7,8,9,9,9,9,10,10,10,10,10,10,10,10,9,10,9,10,10,9,10,11,11,10,12,13,11,11,12,12,13,13,14,13,13,14,15,14,15,15,16,16,0
89,9,9,8,7,7,6,6,6,6,6,6,6,5,6,8,8,7,8,8,7,9,8,7,7,8,7,7,8,7,9,8,8,8,9,10,9,9,9,9,8,9,9,10,9,10,10,10,10,12,11,12,13,0
90,14,13,12,12,11,11,10,9,9,9,9,9,10,10,10,12,12,12,12,11,11,11,11,11,11,11,11,12,11,11,12,12,12,12,12,12,13,14,13,13,13,14,14,15,15,16,15,15,17,17,17,17,0
91,14,14,13,13,11,10,10,9,9,9,9,10,11,11,11,11,11,12,11,12,12,12,12,11,11,11,11,11,11,11,11,12,12,11,12,13,13,13,11,13,14,14,14,14,14,15,16,15,16,17,18,18,0
92,15,14,14,15,13,13,12,12,11,11,11,11,12,12,12,13,13,13,13,13,13,13,12,13,13,13,12,12,12,12,13,13,13,13,13,14,14,14,14,15,14,15,15,15,16,16,16,16,18,18,18,17,0
93,13,13,14,12,12,11,11,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,11,11,12,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,14,15,14,15,16,16,18,0
94,16,15,14,13,13,12,12,11,11,11,11,11,11,12,11,11,12,11,13,13,13,12,12,11,11,12,12,12,12,11,12,13,12,13,13,13,14,13,12,14,14,14,14,14,14,16,15,15,17,16,17,18,0
95,14,14,13,14,13,12,10,10,10,10,10,11,10,11,11,11,11,11,12,11,11,11,11,12,10,11,11,10,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,15,15,15,16,16,17,0
96,15,16,13,13,13,12,12,11,11,10,11,11,11,11,11,12,12,11,12,12,12,12,11,11,11,12,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,15,16,15,16,16,17,0
97,15,14,14,14,13,12,12,12,11,11,11,11,11,11,11,12,12,12,11,12,12,12,12,12,12,11,11,11,12,11,13,13,13,13,13,13,13,13,13,14,15,14,14,15,14,14,15,16,17,17,17,18,0
98,14,13,13,13,11,10,10,10,9,9,9,10,10,9,10,10,11,11,10,11,11,11,10,10,10,10,10,10,10,10,10,11,12,11,10,11,11,12,12,12,12,12,13,13,13,12,14,14,15,16,15,16,0
99,13,13,11,12,10,10,10,9,9,9,8,9,9,9,9,9,9,9,9,10,10,10,9,10,9,9,9,9,9,10,10,9,10,9,9,11,11,10,11,11,11,11,11,13,12,13,12,13,13,13,14,16,0
