amp-ave,amp-sd,phase-ave,phase-sd,group
18.144,6.289,0.132,0.244,1
19.517,6.246,-2.321,1.813,1
18.244,6.379,-0.177,0.216,1
19.061,6.163,-2.788,0.229,1
18.891,6.303,-1.794,0.212,1
18.445,6.207,1.568,0.216,1
20.291,6.917,1.383,0.212,1
19.469,6.426,-1.748,0.22,1
22.669,7.459,-2.115,0.206,1
19.568,6.491,-1.633,0.203,1
20.249,6.656,0.121,3.008,1
18.006,6.162,1.512,0.234,1
19.581,6.346,-2.902,0.229,1
22.513,7.388,-1.973,0.231,1
19.872,6.812,-1.131,0.25,1
18.167,5.848,-2.813,0.228,1
16.554,5.8,0.986,0.244,1
21.382,7.382,1.476,0.236,1
16.921,5.863,-0.278,0.239,1
18.676,6.349,1.852,0.226,1
20.786,7.224,0.818,0.237,1
17.039,5.743,1.977,0.253,1
19.722,6.266,1.134,2.757,1
22.072,7.499,-0.813,0.234,1
18.995,6.511,-0.696,0.214,1
18.52,6.274,1.785,0.241,1
19.084,6.741,0.855,0.228,1
22.079,7.415,-1.098,0.248,1
19.753,6.423,-1.756,0.225,1
21.663,7.24,-2.025,0.194,1
19.433,6.79,-0.432,0.217,1
19.663,6.474,-1.854,0.203,1
16.571,5.687,0.947,0.24,1
16.996,5.712,1.965,0.228,1
19.22,6.422,2.236,0.252,1
19.789,6.565,-1.653,0.218,1
19.405,6.335,2.04,0.23,1
19.102,6.584,-0.189,0.221,1
16.532,5.89,0.251,0.257,1
20.987,7.36,0.179,0.233,1
17.025,6.073,-0.208,0.212,1
21.004,7.261,0.401,0.237,1
19.134,6.725,0.532,0.24,1
17.582,6.093,-0.761,0.229,1
21.62,7.338,-1.124,0.223,1
18.45,6.014,-2.739,0.215,1
20.52,6.801,-2.213,0.208,1
18.108,6.176,-1.012,0.194,1
17.19,5.875,-0.251,0.258,2
17.784,5.918,0.045,0.244,2
19.963,6.454,1.095,0.228,2
20.921,6.502,-2.673,0.223,2
20.247,6.752,-0.392,0.228,2
18.866,6.074,-2.803,0.236,2
16.096,5.32,1.974,0.278,2
18.969,5.848,-1.95,0.217,2
18.148,5.744,2.121,0.251,2
20.501,6.35,2.605,0.237,2
18.362,5.725,2.474,0.233,2
20.173,6.792,-0.181,0.193,2
17.406,5.776,0.27,0.22,2
18.387,5.673,-2.222,0.254,2
21.269,6.55,-1.89,0.205,2
18.925,5.862,0.712,2.93,2
18.101,6.085,-0.27,0.228,2
18.844,5.892,-1.624,0.212,2
18.43,6.14,-0.229,0.253,2
17.928,5.952,-0.306,0.225,2
19.604,6.563,0.308,0.25,2
18.468,5.731,2.335,0.229,2
20.321,6.516,1.63,0.275,2
18.754,6.007,-1.256,0.228,2
18.454,5.972,-1.327,0.228,2
17.102,5.775,-0.634,0.235,2
18.046,5.983,-0.905,0.248,2
14.673,4.952,-0.671,0.233,2
18.206,6.204,0.773,0.248,2
16.734,5.411,-1.373,0.201,2
17.442,6.043,0.673,0.274,2
