group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
unmammed,27.659,28.16,28.16,28.46,27.514,27.857,27.313,26.401,25.495,24.597,23.707,22.361,21.471,21.471,20.125,19.235,17.889,17,15.652,15.232,14.318,13.601,12.369,12.166,11.18,10,9,9.055,8.544,8.544,8.062,8.602,8.602,9.22,9.22,9.22,8.602,8.602,9.434,9.434,8.944,8.544,9.487,9.487,8.246,8.246,9.055,8,9,9.055,9.055,8.246,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.411,32.558,31.78,39,31.78,32.28,28.284,28.443,26.571,28.16,26.249,23.77,23.77,23.087,22.561,20.881,20.248,18.028,18.385,17.889,16.553,15.264,14.765,14.213,13.454,12.728,11.402,11.662,12.083,11.705,11.705,12.369,11.18,12.042,12.042,11,12.042,12.166,12.166,12.369,11.402,11.705,11.705,11.18,11.18,11.662,11.662,11.402,11.402,11.314,12.042,11.402,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,31.305,31.385,30.017,30.232,30.232,29.206,28.425,27.659,26.907,25.495,25.495,24.083,22.672,22.023,21.26,19.849,19.105,17.804,17.029,17.205,15.811,14.422,13.892,14.318,13,12.649,11.18,11.045,11.045,11,11.045,11.18,10.198,11.18,10.44,11.18,10.296,12.083,11.662,10.817,11.402,10.63,11.314,11.314,10.63,12.042,11.402,10.817,11.662,11.662,12.083,11.705,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,35.355,34.525,33.956,34.205,33.242,33.526,31.953,31.953,30.463,29.155,28.792,26.926,25.632,24.698,23.77,22.847,21.541,20.248,20.248,18.974,17.72,16.492,16.492,15.133,14.036,14.036,12.042,12.166,11.402,11.402,10.77,11.18,10.296,10.817,10,10.63,10.63,10.63,10,10.817,9.434,10.296,9.849,9.487,10.44,9.22,10.198,10.05,10,10.05,10,10.05,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,33.838,33.601,33.601,34.059,33.302,32.558,31.113,30.414,29,29,28.32,26.249,25.495,24.083,23.431,21.932,20.518,20.518,19.105,17.692,16.279,15.62,14.213,14.422,13.892,13.416,11.705,10.77,10.198,10.198,10,10,9.055,9.22,9.22,9.487,8.944,9.434,8.602,8.602,8.602,8.485,8.485,8.485,9.22,9.434,9.434,8.062,9.849,9.487,10.44,10.198,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,31.828,29,29,30.48,26.907,28.601,27.785,24.698,24.698,23.324,23.707,22.825,21.095,18.868,19.235,17,16.553,15.264,13.892,13.038,12.806,11.402,10.63,9.22,8.602,8.602,8.544,8.062,8.062,9,9.22,10.198,9.487,10.77,10.77,11.18,12.083,11.18,11.662,11.662,12.207,11.402,12.042,12.042,12.728,12.806,13.454,12.806,14.213,13.601,13.892,13.892,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,31.064,28.601,29.833,27.803,27.659,28.32,26.87,25.612,24.839,25,23.601,21.401,20.616,19.209,19.209,17.205,15.62,14.866,13.454,12.728,12.042,11.402,10.63,8.944,9.849,8.544,9.055,9,9.055,9.487,9.487,9.849,9.849,10.296,11.662,10.817,11.314,12.042,12.728,12.728,12.806,12.806,12.806,12.207,13.038,13.038,13.416,14.318,14.318,14.866,14.866,14.56,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.203,26.571,26.926,26.401,26.833,25.06,24.698,23.854,22.472,22.204,20.809,20,19.209,17.804,16.401,16.401,15,14.422,13.038,11.662,11.18,9.849,9.487,9.487,8.062,8.062,8.062,8.246,7.616,8.062,8.602,8.602,9.22,9.899,9.899,10.63,10,11.402,10.817,10.817,11.662,11.18,11.18,10.77,11.705,12.649,12.649,12.369,13.342,13.153,13.153,14.142,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,28.231,27.514,26.249,26.926,25.71,25.318,24.187,24.187,23.087,21.095,21.024,20,19.026,18.028,16.031,16.031,15,13.038,12.042,11.18,11.18,10.44,8.544,8.062,8.062,7.81,7.81,7.211,7.616,8.246,8.246,9.055,9.055,10,10,11,11.045,11.045,11.18,11.18,11.18,12.369,11.705,12.649,12.083,12.083,13.416,12.53,12.53,12.207,13.038,13.038,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.683,27.203,26.249,26.926,24.698,24.166,24.166,22.825,21.471,20.591,19.723,18.358,17.493,17.493,16.125,15.264,14.765,13.416,12.083,11.705,11.402,10.44,9.22,9.055,8,8.062,8.544,8.544,8.602,9.22,9.22,10.63,10.63,10,11.402,10.817,11.662,11.18,12.083,12.083,12.53,12.083,12.649,13,13.601,12.369,13.342,12.042,13.038,14.036,13,13.153,0,0,0,0,0,0,0,0,0,0,0,0
